,index,previousStableCoinBalance,previousTickerBalance,currentAction,priceAtCurrentAction,currentStableCoinBalance,currentTickerBalance
242,242,0.0,0.01564178676061289,closeLongPosition,30471.6,476.153639185237,0
243,243,0.0,0.015610518828878425,closeLongPosition,29939.96,466.91093100655104,0
244,244,932.888040151089,0.0,closeShortPosition,29355.87,474.58890067386767,0
245,245,948.2286235463876,0.0,closeShortPosition,29351.51,473.2137455692282,0
246,246,0.0,0.01610617415675238,closeLongPosition,29614.12,476.49320404474474,0
247,247,952.0334216814,0.0,closeShortPosition,30213.05,465.41417891949465,0
248,248,929.8975294811503,0.0,closeShortPosition,30330.01,462.19656529993665,0
249,249,923.4687374692734,0.0,closeShortPosition,29317.97,476.1964494593804,0
250,250,951.440506019842,0.0,closeShortPosition,30384.61,457.4375965213612,0
251,251,0.0,0.015039855996994525,closeLongPosition,30145.93,452.9370556493817,0
252,252,0.0,0.015009791324856534,closeLongPosition,29830.0,447.29433314524994,0
253,253,0.0,0.014979786751998146,closeLongPosition,29222.94,437.3156560569702,0
254,254,873.7566808018265,0.0,closeShortPosition,29096.77,437.86992568351855,0
255,255,0.0,0.015033698096312238,closeLongPosition,30153.02,452.8580879726928,0
256,256,0.0,0.01500364573381771,closeLongPosition,30099.67,451.15318059943604,0
257,257,0.0,0.014973653445995808,closeLongPosition,28901.08,432.32200137886554,0
258,258,863.7793587549734,0.0,closeShortPosition,29255.16,425.71364256142346,0
259,259,850.575857837724,0.0,closeShortPosition,29563.17,419.93912327063197,0
260,260,0.0,0.014190602163007599,closeLongPosition,29286.1,415.1718066120507,0
261,261,829.5132696108774,0.0,closeShortPosition,29926.67,404.83487479643793,0
262,262,0.0,0.01351403413482494,closeLongPosition,30126.63,406.7251738810539,0
263,263,812.6368974143456,0.0,closeShortPosition,30255.95,403.7420834332729,0
264,264,806.6766826996793,0.0,closeShortPosition,29358.74,414.47347449227175,0
265,265,828.1180020355589,0.0,closeShortPosition,29328.15,413.6424528850768,0
266,266,0.0,0.014089835548174423,closeLongPosition,30103.44,423.7283665153015,0
267,267,846.6092762975724,0.0,closeShortPosition,29563.36,430.0325014980705,0
268,268,0.0,0.014531584670909273,closeLongPosition,29772.13,432.2035917003898,0
269,269,863.5427762173788,0.0,closeShortPosition,29586.31,433.5821109048629,0
270,270,0.0,0.014640167320424818,closeLongPosition,28927.29,423.0768653607252,0
271,271,845.307576990729,0.0,closeShortPosition,28733.99,424.61261638661205,0
272,272,848.3760075404508,0.0,closeShortPosition,28833.13,421.8556336932598,0
273,273,842.867556119133,0.0,closeShortPosition,28907.5,419.483615016368,0
274,274,0.0,0.014496726849480295,closeLongPosition,28941.09,419.1315253797694,0
275,275,837.4247877087793,0.0,closeShortPosition,29285.25,412.8754117545248,0
276,276,0.0,0.014084309894666096,closeLongPosition,30332.84,426.7899014267782,0
277,277,0.0,0.014056155359186659,closeLongPosition,30622.04,429.997723503573,0
278,278,859.1354515601389,0.0,closeShortPosition,31691.5,413.6848050091554,0
