,index,previousStableCoinBalance,previousTickerBalance,currentAction,priceAtCurrentAction,currentStableCoinBalance,currentTickerBalance
36,36,1898.2355720767957,0.0,closeShortPosition,36156.98,917.975739858585,0
37,37,0.0,0.02330104924644088,closeLongPosition,39148.75,911.2947447349158,0
38,38,0.0,0.022199011267475414,closeLongPosition,43336.26,961.060101906214,0
39,39,1920.1980836086154,0.0,closeShortPosition,43385.53,957.0411476835424,0
40,40,1912.1682130717177,0.0,closeShortPosition,44248.56,935.1065973434008,0
41,41,0.0,0.022575440224757364,closeLongPosition,40754.4,919.1284725747557,0
42,42,1836.4186882043618,0.0,closeShortPosition,39334.06,905.0391282893706,0
43,43,0.0,0.023836799328689748,closeLongPosition,38828.33,924.617567367666,0
44,44,0.0,0.0237891495668317,closeLongPosition,38550.01,916.1548817391649,0
45,45,0.0,0.023741595056847604,closeLongPosition,38309.73,908.6245623007693,0
46,46,1815.431875476937,0.0,closeShortPosition,41639.54,826.9561787534651,0
47,47,0.0,0.019840017987103404,closeLongPosition,42233.16,837.0687473981639,0
48,48,0.0,0.019800357791147187,closeLongPosition,39540.63,782.1357026660808,0
49,49,1562.7071339268293,0.0,closeShortPosition,38786.01,780.7722286252636,0
50,50,1559.9829127932767,0.0,closeShortPosition,40301.0,754.7192664171893,0
51,51,1507.9290943015442,0.0,closeShortPosition,40800.05,762.2855024004097,0
52,52,0.0,0.01814150026700447,closeLongPosition,41849.37,758.4511466719398,0
53,53,1515.3853910505356,0.0,closeShortPosition,40864.28,764.0806101322177,0
54,54,0.0,0.017755874676481282,closeLongPosition,42515.0,754.136120858731,0
55,55,0.0,0.0176931179250289,closeLongPosition,42901.03,758.2939299123072,0
56,56,1515.07127196479,0.0,closeShortPosition,47491.5,757.5996926349492,0
57,57,1513.6841858846285,0.0,closeShortPosition,44642.44,772.6260288086172,0
58,58,0.0,0.01677020183424827,closeLongPosition,46529.71,779.532315361051,0
59,59,1557.50556609138,0.0,closeShortPosition,45335.34,787.2235599838444,0
60,60,1572.872672847721,0.0,closeShortPosition,39921.19,801.1012687448697,0
61,61,1600.6003349522496,0.0,closeShortPosition,39464.46,785.354840814503,0
62,62,0.0,0.018979794803497017,closeLongPosition,41371.85,784.443994417417,0
63,63,0.0,0.018833438166032633,closeLongPosition,41814.92,786.7311915273636,0
64,64,0.0,0.020165291652437575,closeLongPosition,38551.0,776.6147663346278,0
65,65,1551.6763031365863,0.0,closeShortPosition,37998.69,777.3109031588083,0
66,66,1553.067184511299,0.0,closeShortPosition,39189.99,750.5969155058485,0
67,67,0.0,0.019133618523259198,closeLongPosition,39752.93,759.8567804040244,0
68,68,0.0,0.019095370419831205,closeLongPosition,37036.55,706.5194146812769,0
69,69,1411.6257905331913,0.0,closeShortPosition,36435.42,715.823794237309,0
70,70,1430.2159408861435,0.0,closeShortPosition,36218.01,717.910680431077,0
71,71,1434.385539501292,0.0,closeShortPosition,34383.19,716.0913207492696,0
72,72,0.0,0.020805958650972185,closeLongPosition,33648.89,699.3973165771204,0
73,73,0.0,0.022381316342463133,closeLongPosition,31218.02,698.0016808241356,0
74,74,1394.607358286623,0.0,closeShortPosition,27793.62,754.1319870594023,0
75,75,1506.7557101446857,0.0,closeShortPosition,29701.1,700.1280286056025,0
76,76,0.0,0.02354888878112248,closeLongPosition,30471.6,716.8547470634688,0
77,77,0.0,0.023501814552449013,closeLongPosition,29939.96,702.9397442401136,0
78,78,0.0,0.023454834425158666,closeLongPosition,29355.87,687.848533186226,0
79,79,1374.3213693060795,0.0,closeShortPosition,29351.51,685.8554431238863,0
80,80,1370.339175361525,0.0,closeShortPosition,30213.05,669.9085007075879,0
81,81,0.0,0.022025577823999724,closeLongPosition,30145.93,663.3175457645561,0
82,82,1325.3084564375831,0.0,closeShortPosition,29830.0,668.2420763805452,0
83,83,1335.1476686083292,0.0,closeShortPosition,29222.94,679.7928591225703,0
84,84,1358.2261325268955,0.0,closeShortPosition,29096.77,680.6544530969398,0
85,85,0.0,0.02336939112636361,closeLongPosition,30153.02,703.9530603030435,0
86,86,0.0,0.02332267571350201,closeLongPosition,30099.67,701.3028376509315,0
87,87,1401.203069626561,0.0,closeShortPosition,28901.08,727.066487181357,0
88,88,1452.6788413883514,0.0,closeShortPosition,29255.16,715.9527427591274,0
89,89,1430.4735800327367,0.0,closeShortPosition,29358.74,734.9826362915928,0
90,90,1468.4953073106024,0.0,closeShortPosition,29328.15,733.5089920435029,0
91,91,1465.5509661029187,0.0,closeShortPosition,29563.36,744.4219732416831,0
92,92,1487.355102536883,0.0,closeShortPosition,28927.29,758.720333793061,0
93,93,0.0,0.026220240887633587,closeLongPosition,28941.09,758.0835089993328,0
94,94,0.0,0.024967178328515676,closeLongPosition,30622.04,763.7813875294772,0
